RELIANCE INDUSTRIES LTD,500325,Integrated Oil & Gas
TATA CONSULTANCY SERVICES LTD,532540,IT Consulting & Software
HDFC BANK LTD,500180,Banks
ITC LTD,500875,Cigarettes,Tobacco Products
HOUSING DEVELOPMENT FINANCE CORPLTD,500010,Housing Finance 
HINDUSTAN UNILEVER LTD,500696,Personal Products
MARUTI SUZUKI INDIA LTD,532500,Cars & Utility Vehicles
INFOSYS LTD,500209,IT Consulting & Software
STATE BANK OF INDIA,500112,Banks
OIL AND NATURAL GAS CORPORATION LTD,500312,Exploration & Production
KOTAK MAHINDRA BANK LTD,500247,Banks
LARSEN  TOUBRO LTD,500510,Construction & Engineering
ICICI BANK LTD,532174,Banks
INDIAN OIL CORPORATION LTD,530965,Oil Marketing & Distribution
COAL INDIA LTD,533278,Coal
BHARTI AIRTEL LTD,532454,Telecom Services
NTPC LTD,532555,Electric Utilities
AXIS BANK LTD,532215,Banks
HCL TECHNOLOGIES LTD,532281,IT Consulting & Software
HINDUSTAN ZINC LTD,500188,Zinc
WIPRO LTD,507685,IT Consulting & Software
SUN PHARMACEUTICAL INDUSTRIES LTD,524715,Pharmaceuticals
BAJAJ FINANCE LIMITED,500034,Finance (including NBFCs)
INDUSIND BANK LTD,532187,Banks
ASIAN PAINTS LTD,500820,Furniture,Furnishing,Paints
ULTRATECH CEMENT LTD,532538,Cement & Cement Products
VEDANTA LIMITED,500295,Zinc
TATA MOTORS LTD,500570,Commercial Vehicles
POWER GRID CORPORATION OF INDIA LTD,532898,Electric Utilities
HDFC STANDARD LIFE INSURANCE COMPANY LTD,540777,Life Insurance
MAHINDRA  MAHINDRA LTD,500520,Cars & Utility Vehicles
BHARAT PETROLEUM CORPORATION LTD,500547,Refineries/ Petro-Products
AVENUE SUPERMARTS LTD,540376,Department Stores
BAJAJ FINSERV LTD,532978,Holding Companies
TITAN COMPANY LIMITED,500114,Other Apparels & Accessories
EICHER MOTORS LTD,505200,2/3 Wheelers
NESTLE INDIA LTD,500790,Packaged Foods
BAJAJ AUTO LTD,532977,2/3 Wheelers
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,532921,Marine Port & Services
HERO MOTOCORP LTD,500182,2/3 Wheelers
JSW STEEL LTD,500228,Iron & Steel/Interm.Products
GAIL (INDIA) LTD,532155,Utilities:Non-Elec.
GODREJ CONSUMER PRODUCTS LTD,532424,Personal Products
MAHINDRA  MAHINDRA LTD,500520,Cars & Utility Vehicles
BAJAJ AUTO LTD,532977,2/3 Wheelers
MOTHERSON SUMI SYSTEMS LTD,517334,Auto Parts & Equipment
YES BANK LTD,532648,Banks
GRASIM INDUSTRIES LTD,500300,Cement & Cement Products
SBI LIFE INSURANCE COMPANY LTD,540719,Life Insurance
TATA STEEL LTD,500470,Iron & Steel/Interm.Products
GENERAL INSURANCE CORPORATION OF INDIA,540755,General Insurance
BHARTI INFRATEL LTD,534816,Other Telecom Services
BRITANNIA INDUSTRIES LTD,500825,Packaged Foods
BANDHAN BANK LTD,541153,Banks
BOSCH LTD,500530,Auto Parts & Equipment
TECH MAHINDRA LTD,532755,IT Consulting & Software
DABUR INDIA LTD,500096,Personal Products
SHREE CEMENT LTD,500387,Cement & Cement Products
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,540133,Life Insurance
INTERGLOBE AVIATION LTD,539448,Airlines
INDIABULLS HOUSING FINANCE LTD,535789,Housing Finance 
HINDUSTAN PETROLEUM CORPORATION LTD,500104,Refineries/ Petro-Products
THE NEW INDIA ASSURANCE COMPANY LTD,540769,General Insurance
ZEE ENTERTAINMENT ENTERPRISES LTD,505537,Broadcasting & Cable TV
PIDILITE INDUSTRIES LTD,500331,Specialty Chemicals
HINDALCO INDUSTRIES LTD,500440,Aluminium
UNITED SPIRITS LTD,532432,Breweries & Distilleries
PIRAMAL ENTERPRISES LTD,500302,Pharmaceuticals
AMBUJA CEMENTS LTD,500425,Cement & Cement Products
CIPLA LTD,500087,Pharmaceuticals
ASHOK LEYLAND LTD,500477,Commercial Vehicles
MARICO LTD,531642,Personal Products
CADILA HEALTHCARE LTD,532321,Pharmaceuticals
SIEMENS LTD,500550,Heavy Electrical Equipment
UPL LIMITED,512070,Agrochemicals
NMDC LTD,526371,Mining
BIOCON LTD,532523,Biotechnology
HINDUSTAN AERONAUTICS LTD,541154,Aerospace
DLF LTD,532868,Realty
LUPIN LTD,500257,Pharmaceuticals
AUROBINDO PHARMA LTD,524804,Pharmaceuticals
PETRONET LNG LTD,532522,Oil Marketing & Distribution
BANK OF BARODA,532134,Banks
SHRIRAM TRANSPORT FINANCE COLTD,511218,Finance (including NBFCs)
BHARAT ELECTRONICS LTD,500049,Defence
DRREDDYS LABORATORIES LTD,500124,Pharmaceuticals
ADITYA BIRLA CAPITAL LTD,540691,Holding Companies
MAHINDRA  MAHINDRA LTD,500520,Cars & Utility Vehicles
BAJAJ AUTO LTD,532977,2/3 Wheelers
ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,540716,General Insurance
SUN TV NETWORK LTD,532733,Broadcasting & Cable TV
LT FINANCE HOLDINGS LTD,533519,Holding Companies
BHARAT FORGE LTD,500493,Other Industrial Products
ORACLE FINANCIAL SERVICES SOFTWARE LTD,532466,IT Consulting & Software
HAVELLS INDIA LTD,517354,Other Elect.Equip./ Prod.
MRF LTD,500290,Auto Tyres & Rubber Products
IDEA CELLULAR LTD,532822,Telecom Services
BHARAT HEAVY ELECTRICALS LTD,500103,Heavy Electrical Equipment
PROCTER  GAMBLE HYGIENE  HEALTH CARE LTD,500459,Personal Products
STEEL AUTHORITY OF INDIA LTD,500113,Iron & Steel/Interm.Products
CONTAINER CORPORATION OF INDIA LTD,531344,Transport Related Services
TVS MOTOR COMPANY LTD,532343,2/3 Wheelers
MAHINDRA  MAHINDRA FINANCIAL SERVICES LTD,532720,Finance (including NBFCs)
DIVIS LABORATORIES LTD,532488,Pharmaceuticals
